Occupation	Occupation1	Gender	nIndividuals	AvgTaxableIncome	MedianTaxableIncome
1213 Livestock Farmers	121311 Apiarist	Male	256	46175	41775
1213 Livestock Farmers	121311 Apiarist	Total	296	45347	41346
1213 Livestock Farmers	121312 Beef cattle farmer or farm overseer; Farmer/farm overseer - beef cattle	Female	560	45057	32047
1213 Livestock Farmers	121312 Beef cattle farmer or farm overseer; Farmer/farm overseer - beef cattle	Male	2459	54465	47746
1213 Livestock Farmers	121312 Beef cattle farmer or farm overseer; Farmer/farm overseer - beef cattle	Total	3019	52720	45061
1213 Livestock Farmers	121313 Farmer/farm overseer - dairy cattle; Dairy cattle farmer or farm overseer	Female	532	35909	30433
1213 Livestock Farmers	121313 Farmer/farm overseer - dairy cattle; Dairy cattle farmer or farm overseer	Male	1703	48480	46427
1213 Livestock Farmers	121313 Farmer/farm overseer - dairy cattle; Dairy cattle farmer or farm overseer	Total	2235	45488	42742
1213 Livestock Farmers	121314 Deer farmer or farm overseer; Farmer/farm overseer - deer	Female	7	31740	22167
1213 Livestock Farmers	121314 Deer farmer or farm overseer; Farmer/farm overseer - deer	Male	9	48878	44016
1213 Livestock Farmers	121314 Deer farmer or farm overseer; Farmer/farm overseer - deer	Total	16	41380	33277
1213 Livestock Farmers	121315 Farmer/farm overseer - goats; Goat farmer or farm overseer	Female	18	66127	40983
1213 Livestock Farmers	121315 Farmer/farm overseer - goats; Goat farmer or farm overseer	Male	22	44495	29751
1213 Livestock Farmers	121315 Farmer/farm overseer - goats; Goat farmer or farm overseer	Total	40	54230	35580
1213 Livestock Farmers	121316 Horse breeder	Female	107	39539	39499
1213 Livestock Farmers	121316 Horse breeder	Male	110	56203	46715
1213 Livestock Farmers	121316 Horse breeder	Total	217	47986	41558
1213 Livestock Farmers	121317 Livestock farmer or farm overseer - mixed livestock; Farmer/farm overseer - mixed livestock	Female	204	45524	37950
1213 Livestock Farmers	121317 Livestock farmer or farm overseer - mixed livestock; Farmer/farm overseer - mixed livestock	Male	1326	51423	47209
1213 Livestock Farmers	121317 Livestock farmer or farm overseer - mixed livestock; Farmer/farm overseer - mixed livestock	Total	1530	50637	46158
1213 Livestock Farmers	121318 Farmer/farm overseer - pigs; Pig farmer or farm overseer	Female	237	44568	42099
1213 Livestock Farmers	121318 Farmer/farm overseer - pigs; Pig farmer or farm overseer	Male	857	55564	52738
1213 Livestock Farmers	121318 Farmer/farm overseer - pigs; Pig farmer or farm overseer	Total	1094	53182	51039
1213 Livestock Farmers	121321 Poultry farmer or farm overseer; Farmer/farm overseer - poultry	Female	274	48916	43844
1213 Livestock Farmers	121321 Poultry farmer or farm overseer; Farmer/farm overseer - poultry	Male	1030	57448	53922
1213 Livestock Farmers	121321 Poultry farmer or farm overseer; Farmer/farm overseer - poultry	Total	1304	55655	51299
1213 Livestock Farmers	121322 Farmer/farm overseer - sheep; Sheep farmer or farm overseer	Female	145	42946	28901
1213 Livestock Farmers	121322 Farmer/farm overseer - sheep; Sheep farmer or farm overseer	Male	633	50676	42404
1213 Livestock Farmers	121322 Farmer/farm overseer - sheep; Sheep farmer or farm overseer	Total	778	49235	40276
1213 Livestock Farmers	121399 Dog breeder; Farmer/farm overseer - other livestock; Farmer/farm overseer - dog breeding	Female	194	48134	33103
1213 Livestock Farmers	121399 Dog breeder; Farmer/farm overseer - other livestock; Farmer/farm overseer - dog breeding	Male	835	64603	53025
1213 Livestock Farmers	121399 Dog breeder; Farmer/farm overseer - other livestock; Farmer/farm overseer - dog breeding	Total	1029	61498	50052
1214 Mixed Crop and Livestock Farmers	121411 Farmer/farm overseer - grain and livestock; Farmer/farm overseer - mixed crop and livestock; Grain and livestock farmer or farm overseer; Grazier; Livestock and mixed crop farmer or farm overseer	Female	551	54089	37654
1214 Mixed Crop and Livestock Farmers	121411 Farmer/farm overseer - grain and livestock; Farmer/farm overseer - mixed crop and livestock; Grain and livestock farmer or farm overseer; Grazier; Livestock and mixed crop farmer or farm overseer	Male	2750	60158	51611
1214 Mixed Crop and Livestock Farmers	121411 Farmer/farm overseer - grain and livestock; Farmer/farm overseer - mixed crop and livestock; Grain and livestock farmer or farm overseer; Grazier; Livestock and mixed crop farmer or farm overseer	Total	3301	59145	49817
1311 Advertising and Sales Managers	131112 Director - sales; Manager - sales and marketing; Marketing manager; Sales and marketing manager; Sales director or manager	Female	62422	79901	64358
1311 Advertising and Sales Managers	131112 Director - sales; Manager - sales and marketing; Marketing manager; Sales and marketing manager; Sales director or manager	Male	96993	110597	86937
1311 Advertising and Sales Managers	131112 Director - sales; Manager - sales and marketing; Marketing manager; Sales and marketing manager; Sales director or manager	Total	159415	98577	78001
1311 Advertising and Sales Managers	131113 Manager - advertising; Director - advertising; Advertising director; Advertising manager	Female	3546	80825	69394
1311 Advertising and Sales Managers	131113 Manager - advertising; Director - advertising; Advertising director; Advertising manager	Male	2751	115386	87158
1311 Advertising and Sales Managers	131113 Manager - advertising; Director - advertising; Advertising director; Advertising manager	Total	6297	95924	76290
1311 Advertising and Sales Managers	131114 Manager - public relations; Public relations manager	Female	3006	82730	70709
1311 Advertising and Sales Managers	131114 Manager - public relations; Public relations manager	Male	1150	114166	92779
1311 Advertising and Sales Managers	131114 Manager - public relations; Public relations manager	Total	4156	91428	75608
1321 Corporate Services Managers	132111 Manager - corporate services; Corporate services manager	Female	4747	94402	80622
1321 Corporate Services Managers	132111 Manager - corporate services; Corporate services manager	Male	5324	131904	104628
1321 Corporate Services Managers	132111 Manager - corporate services; Corporate services manager	Total	10071	114227	91943
1322 Finance Managers	132211 Finance manager; Financial controller; Manager - finance; Manager - financial administration; Administrator - financial; Financial administrator	Female	22997	86959	69144
