"noprntn"	"nhweqini"	"nhhwth"
NA	71500	723.485007918862
NA	75000	22795.614394672
NA	76000	2707.90893843881
NA	77000	1848.08034219112
NA	79000	675.894801772223
NA	79036	2107.750922058
NA	80000	80289.6088586534
NA	81000	2304.77064275347
NA	82000	3748.89010889688
NA	82752	1509.92619237559
NA	83000	4767.23486138912
NA	83631	1872.32700685364
NA	85000	15844.4982392309
NA	88000	2538.40546172117
NA	88500	2819.27009628735
NA	89000	1611.53759182243
NA	89900	1076.39163823864
NA	90000	28109.5592374817
NA	92034	859.843754882603
NA	92687	1307.43934664401
NA	93000	8075.38562339033
NA	94400	933.187623625459
NA	95000	3269.23953071171
NA	100000	220150.41864015
NA	103000	827.742151786075
NA	104000	8806.99002191288
NA	105000	3769.70665273471
NA	108000	666.424447884715
NA	109000	1519.42775058838
NA	110000	14388.0855077144
NA	113000	624.268157907999
NA	114000	543.127634353035
NA	115489	1681.36059993833
NA	117000	3492.01239163163
NA	117800	616.926451330951
NA	119000	1912.87463513411
NA	120000	41051.2942321978
NA	121000	3745.60766122246
NA	122000	4337.59766477672
NA	123644	547.289278705215
NA	125000	8421.16019695747
NA	128650	3746.33874615163
NA	130000	12549.9915656243
NA	130850	653.351495370033
NA	131500	672.45375017691
NA	136000	4726.24683935837
NA	138000	1788.01688390066
NA	140000	16520.4739383144
NA	141000	1402.17565617102
NA	142000	1294.78796248623
NA	143000	1775.02213499939
NA	144000	4736.62279248976
NA	145000	719.123916792107
NA	146000	6584.40829278309
NA	150000	70143.3766400979
NA	154037	1905.53166605488
NA	155178	713.166591290224
NA	156700	7674.51994239644
NA	160000	13662.9945981636
NA	167080	1048.61486623237
NA	170000	6498.24737051184
NA	173000	836.865012326047
NA	175000	11466.7615789995
NA	177276	1853.0267411374
NA	180000	14640.6186142812
NA	182000	3760.65316413452
NA	183250	897.804661301752
NA	185000	751.941078149392
NA	186000	1211.22714916417
NA	187773	622.557312007514
NA	190000	3927.65284494555
NA	191065	0
NA	191293	1070.70183760195
NA	194607	874.646465830581
NA	195000	4134.24737370334
NA	200000	125125.420002277
NA	203000	1700.76975227722
NA	204000	2491.55364416199
NA	205000	3137.92882233128
NA	207000	799.905006732469
NA	210000	3129.42258238131
NA	212000	1804.41022050797
NA	216000	1228.60496631007
NA	220000	12183.983622042
NA	223000	4342.1512086587
NA	224223	1093.83331778561
NA	225000	1187.37516964862
NA	226000	2272.24859730132
NA	230000	4285.7991896343
NA	235000	802.41405364654
NA	240000	13126.762973485
NA	241116	2554.53584992385
NA	250000	66850.4331395962
NA	256000	3195.13652436828
NA	260000	6390.91038966945
NA	266000	642.749127036954
NA	270000	6093.65883735506
NA	275000	1665.73842510471
NA	280000	7549.80078078107
NA	282000	2632.04795932869
NA	290000	1021.74615980608
NA	292281	780.064124622431
NA	293283	1704.93482810769
NA	295000	9734.41267825719
NA	299000	666.973977356916
NA	300000	91837.1314710339
NA	320000	5587.30518666596
NA	323000	1275.34471678842
NA	330000	2404.40778443609
NA	340000	2071.90216528001
NA	342476	1414.20158981689
NA	345260	2347.92228498264
NA	350000	24260.8300061707
NA	353000	2543.69650826795
NA	358000	1987.49585408926
NA	360000	644.095084747209
NA	370000	2597.02204246162
NA	380000	3696.21818928068
NA	380480	0
NA	384000	738.741094641232
NA	400000	50378.9262732483
NA	401868	1143.113214811
NA	407023	1256.50003353136
NA	420000	6918.7109499827
NA	428543	663.397163136846
NA	430000	3339.50646438754
NA	440000	611.180994865851
NA	445000	3948.95080087609
NA	450000	11343.1479508085
NA	454000	1668.25849403559
NA	460000	5555.11585169069
NA	469000	1069.7322367767
NA	474590	947.828701475474
NA	475000	1522.44483354511
NA	477884	1936.2509036609
NA	487000	813.89503929353
NA	490000	564.712489830911
NA	495000	3778.1452023637
NA	500000	84810.3086247702
NA	500344	0
NA	502000	2214.94422374193
NA	522000	2986.20704115113
NA	525000	1608.23641350523
NA	530000	2536.54363692261
NA	540000	569.399919665207
NA	550000	15105.0716829382
NA	560000	1193.06361717074
NA	570000	5146.90673243418
NA	572000	1516.38392866767
NA	573400	1419.97648000748
NA	600000	30378.3060639519
NA	630000	1258.58488760841
NA	650000	1985.11963484286
NA	675000	5820.96046446357
NA	692340	1604.83475857709
NA	700000	12418.1879401922
NA	735000	1517.98215532886
NA	750000	5403.82267513638
NA	764347	820.045119111705
NA	771000	1548.33950383557
NA	796011	702.900770745442
NA	800000	15383.6213377963
NA	824000	1762.22282261065
NA	845000	2017.92808890818
NA	850000	3809.15129826026
NA	865241	800.535888177464
NA	869329	1757.18278499087
NA	899000	1232.58255131239
NA	900000	10819.0579984576
NA	960000	2697.83067066166
NA	989923	1327.27771689357
NA	1000000	27364.404880996
NA	1036000	1514.05332857118
NA	1100000	3021.31929989354
NA	1121408	1158.92977437944
NA	1200000	10395.7586430101
NA	1300000	778.363545384615
NA	1400000	2358.1878219046
NA	1500000	19437.7422492156
NA	1650000	3983.95279623955
NA	1700000	3642.64971937481
NA	1766000	1003.82898055098
NA	3381640	69954.6910430516
1	0	151916.06292736
1	38	9057.18586519403
1	300	2935.26306884949
1	450	4094.76609327067
1	500	7557.66999345393
1	800	4162.18058480811
1	1200	3000.89379242534
1	2000	2956.63234049287
1	2500	13527.1609164019
1	2949	1487.12759607959
1	3000	6612.09994276058
1	4000	10682.483614842
1	5000	9915.74338126947
1	8000	5125.87529606425
1	9000	905.137991414912
1	10000	10339.5907190102
1	10500	2682.82036279654
1	12000	11764.0966196034
1	13000	1486.69588633642
1	15000	11684.2800154349
1	16000	3564.68009325323
1	20000	11379.5988439128
1	30000	14048.1375691489
1	35000	2851.18553618801
1	50000	9680.71488683241
1	65000	2335.77474438123
1	70000	9931.5692971865
1	75000	4013.82450087152
1	85000	4483.29746253187
1	100000	1979.79241669868
1	110000	4188.73734280189
1	115000	2587.85274863537
1	120000	2441.08346080735
1	120005	713.305346104103
1	150000	894.021111531696
1	370000	2570.68460005002
1	372406	1442.82819962249
1	450000	2132.42596394855
1	500000	6856.80058804921
1	506935	1698.79490575343
1	728500	5293.67893168417
1	900000	587.256420235831
1	1190000	1929.90149497998
1	3381640	6877.17699177234
2	0	293866.917243239
2	300	1080.38103324535
2	800	4665.38054889046
2	1000	35391.2746254094
2	1500	1233.53563246512
2	2000	9779.55983249545
2	2071	1417.7227005004
2	3000	22064.8968911763
2	3106	1733.42743126206
2	3585	2082.91997248099
2	4000	31741.7440961986
2	4382	830.61258015054
2	4620	2229.10660689476
2	5000	4135.15306611312
2	5200	3867.99014919589
2	6000	2870.79334035928
2	7000	2072.39363703572
