"Date"	"SeriesID"	"value"	"Description"	"Adjustment"
1987-01-01	"A2413051X"	125399000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1987-02-01	"A2413051X"	160818000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1987-03-01	"A2413051X"	184181000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1987-04-01	"A2413051X"	184442000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1987-05-01	"A2413051X"	163177000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1987-06-01	"A2413051X"	180303000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1987-07-01	"A2413051X"	189557000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1987-08-01	"A2413051X"	176292000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1987-09-01	"A2413051X"	246692000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1987-10-01	"A2413051X"	235141000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1987-11-01	"A2413051X"	238153000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1987-12-01	"A2413051X"	271609000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1988-01-01	"A2413051X"	179761000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1988-02-01	"A2413051X"	269765000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1988-03-01	"A2413051X"	362718000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1988-04-01	"A2413051X"	279353000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1988-05-01	"A2413051X"	346082000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1988-06-01	"A2413051X"	424159000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1988-07-01	"A2413051X"	347820000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1988-08-01	"A2413051X"	393339000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1988-09-01	"A2413051X"	326677000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1988-10-01	"A2413051X"	311388000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1988-11-01	"A2413051X"	376160000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1988-12-01	"A2413051X"	279750000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1989-01-01	"A2413051X"	278638000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1989-02-01	"A2413051X"	331282000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1989-03-01	"A2413051X"	380309000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1989-04-01	"A2413051X"	323125000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1989-05-01	"A2413051X"	391519000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1989-06-01	"A2413051X"	285295000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1989-07-01	"A2413051X"	262054000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1989-08-01	"A2413051X"	324047000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1989-09-01	"A2413051X"	272802000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1989-10-01	"A2413051X"	274388000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1989-11-01	"A2413051X"	332057000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1989-12-01	"A2413051X"	240962000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1990-01-01	"A2413051X"	275684000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1990-02-01	"A2413051X"	330393000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1990-03-01	"A2413051X"	349355000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1990-04-01	"A2413051X"	253893000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1990-05-01	"A2413051X"	350405000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1990-06-01	"A2413051X"	269703000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1990-07-01	"A2413051X"	275456000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1990-08-01	"A2413051X"	315809000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1990-09-01	"A2413051X"	323245000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1990-10-01	"A2413051X"	353795000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1990-11-01	"A2413051X"	325873000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1990-12-01	"A2413051X"	243293000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1991-01-01	"A2413051X"	273301000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1991-02-01	"A2413051X"	293394000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1991-03-01	"A2413051X"	313930000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1991-04-01	"A2413051X"	322637000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1991-05-01	"A2413051X"	435669000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1991-06-01	"A2413051X"	344790000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1991-07-01	"A2413051X"	411565000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1991-08-01	"A2413051X"	374562000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1991-09-01	"A2413051X"	347509000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1991-10-01	"A2413051X"	380160000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1991-11-01	"A2413051X"	367645000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1991-12-01	"A2413051X"	340521000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1992-01-01	"A2413051X"	316980000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1992-02-01	"A2413051X"	388015000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1992-03-01	"A2413051X"	479629000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1992-04-01	"A2413051X"	474665000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1992-05-01	"A2413051X"	476060000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1992-06-01	"A2413051X"	470953000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1992-07-01	"A2413051X"	504180000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1992-08-01	"A2413051X"	499383000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1992-09-01	"A2413051X"	557222000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1992-10-01	"A2413051X"	508018000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1992-11-01	"A2413051X"	540083000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1992-12-01	"A2413051X"	491651000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1993-01-01	"A2413051X"	422075000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1993-02-01	"A2413051X"	521472000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1993-03-01	"A2413051X"	655758000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1993-04-01	"A2413051X"	537697000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1993-05-01	"A2413051X"	603849000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1993-06-01	"A2413051X"	608754000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1993-07-01	"A2413051X"	586287000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1993-08-01	"A2413051X"	625615000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1993-09-01	"A2413051X"	685010000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1993-10-01	"A2413051X"	593060000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1993-11-01	"A2413051X"	636578000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1993-12-01	"A2413051X"	648787000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1994-01-01	"A2413051X"	510408000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1994-02-01	"A2413051X"	686466000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1994-03-01	"A2413051X"	830029000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1994-04-01	"A2413051X"	727831000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1994-05-01	"A2413051X"	833947000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1994-06-01	"A2413051X"	789739000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1994-07-01	"A2413051X"	740514000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1994-08-01	"A2413051X"	773540000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1994-09-01	"A2413051X"	725406000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1994-10-01	"A2413051X"	611776000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1994-11-01	"A2413051X"	669640000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1994-12-01	"A2413051X"	579393000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1995-01-01	"A2413051X"	438641000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1995-02-01	"A2413051X"	511890000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1995-03-01	"A2413051X"	634662000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1995-04-01	"A2413051X"	452690000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1995-05-01	"A2413051X"	580369000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1995-06-01	"A2413051X"	556761000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1995-07-01	"A2413051X"	542774000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1995-08-01	"A2413051X"	581734000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1995-09-01	"A2413051X"	507721000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1995-10-01	"A2413051X"	492663000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1995-11-01	"A2413051X"	513904000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1995-12-01	"A2413051X"	399564000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1996-01-01	"A2413051X"	388528000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1996-02-01	"A2413051X"	498745000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1996-03-01	"A2413051X"	543573000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
1996-04-01	"A2413051X"	469609000	"Owner Occupation (Secured Finance) - Construction of dwellings ;"	"Original"
